Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC connection,PC identifier,PC name,DCDC,Filterboard DCS,Filterboard power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED crate,FED ID,,,,,,
FPix_BmI_D2_BLD10_PNL2_RNG2,,10T,M-N-3-26,6098,9,2Tc,2TC,1,,,,,,,12,,15,,,-z down left 4,4,-z down left 2,3,8,white-6,35/36,4,b,down center,1297,,,,,,
FPix_BmI_D2_BLD11_PNL2_RNG2,,11T,M-L-2-26,6035,8,2Tc,2TC,3,,,,,,,13,,15,,,-z down left 4,3,-z down left 2,3,9,white-6,11/12,5,a,down center,1298,,,,,,
FPix_BmI_D2_BLD12_PNL2_RNG2,,12T,M-M-2-50,6083,7,2Tc,2TC,5,,,,,,,18,,15,,,-z down left 4,2,-z down left 2,3,10,white-6,35/36,5,b,down center,1298,,,,,,
FPix_BmI_D2_BLD13_PNL2_RNG2,,13T,M-M-4-41,6080,6,2Tc,2TC,7,,,,,,,19,,15,,,-z down left 4,1,-z down left 2,3,11,white-6,11/12,6,a,down center,1299,,,,,,
FPix_BmI_D2_BLD14_PNL2_RNG2,,14T,M-M-1-09,6050,9,2Td,2TD,1,,,,,,,19,,15,,,-z down left 4,1,-z down left 2,3,11,black-8,15/16,6,a,down center,1299,,,,,,
FPix_BmI_D2_BLD15_PNL2_RNG2,,15T,M-K-2-08,6005,8,2Td,2TD,3,,,,,,,20,,15,,,-z down left 3,3,-z down left 2,3,12,black-8,39/40,6,b,down center,1299,,,,,,
FPix_BmI_D2_BLD16_PNL2_RNG2,,16T,M-L-4-10,6002,7,2Td,2TD,5,,,,,,,21,,15,,,-z down left 3,2,-z down left 2,3,13,black-8,15/16,7,a,down center,1300,,,,,,
FPix_BmI_D2_BLD17_PNL2_RNG2,,17T,M-L-2-35,6027,6,2Td,2TD,7,,,,,,,22,,15,,,-z down left 3,1,-z down left 2,3,14,black-8,39/40,7,b,down center,1300,,,,,,
FPix_BmI_D2_BLD1_PNL1_RNG2,,1B,M-I-1-15,6108,5,2Ba,2BA,1,,,,,,,1,,9,,,-z up left 3,1,-z up left 2,3,1,gray-5,9/10,1,a,down center,1294,,,,,,
FPix_BmI_D2_BLD2_PNL1_RNG2,,2B,M-J-4-22,6116,4,2Ba,2BA,3,,,,,,,2,,9,,,-z up left 3,2,-z up left 2,3,2,gray-5,33/34,1,b,down center,1294,,,,,,
FPix_BmI_D2_BLD3_PNL1_RNG2,,3B,M-I-1-18,6115,3,2Ba,2BA,5,,,,,,,3,,9,,,-z up left 3,3,-z up left 2,3,3,gray-5,9/10,2,a,down center,1295,,,,,,
FPix_BmI_D2_BLD4_PNL1_RNG2,,4B,M-I-1-05,6114,2,2Ba,2BA,7,,,,,,,4,,9,,,-z up left 3,4,-z up left 2,3,4,gray-5,33/34,2,b,down center,1295,,,,,,
FPix_BmI_D2_BLD5_PNL1_RNG2,,5B,M-N-1-43,6121,6,2Bb,2BB,1,,,,,,,4,,9,,,-z up left 3,4,-z up left 2,3,4,red-7,35/36,2,b,down center,1295,,,,,,
FPix_BmI_D2_BLD6_PNL1_RNG2,,6B,M-I-3-20,6155,5,2Bb,2BB,3,,,,,,,5,,9,,,-z up left 4,1,-z up left 2,3,5,red-7,13/14,3,a,down center,1296,,,,,,
FPix_BmI_D2_BLD7_PNL1_RNG2,,7B,M-O-2-13,6111,4,2Bb,2BB,4,,,,,,,6,,9,,,-z up left 4,2,-z up left 2,3,6,gray-5,33/34,3,b,down center,1296,,,,,,
FPix_BmI_D2_BLD8_PNL1_RNG2,,8B,M-Y-T-NK,6103,3,2Bb,2BB,5,,,,,,,6,,9,,,-z up left 4,2,-z up left 2,3,6,red-7,35/36,3,b,down center,1296,,,,,,
FPix_BmI_D2_BLD9_PNL1_RNG2,,9B,M-K-1-10,6191,2,2Bb,2BB,7,,,,,,,7,,9,,,-z up left 4,3,-z up left 2,3,7,red-7,13/14,4,a,down center,1297,,,,,,
FPix_BmI_D2_BLD10_PNL1_RNG2,,10B,M-O-1-09,6198,5,2Bc,2BC,1,,,,,,,12,,15,,,-z down left 4,4,-z down left 2,3,8,gray-5,33/34,4,b,down center,1297,,,,,,
FPix_BmI_D2_BLD11_PNL1_RNG2,,11B,M-Y-H-NM,6104,4,2Bc,2BC,3,,,,,,,13,,15,,,-z down left 4,3,-z down left 2,3,9,gray-5,9/10,5,a,down center,1298,,,,,,
FPix_BmI_D2_BLD12_PNL1_RNG2,,12B,M-N-3-40,6102,3,2Bc,2BC,5,,,,,,,18,,15,,,-z down left 4,2,-z down left 2,3,10,gray-5,33/34,5,b,down center,1298,,,,,,
FPix_BmI_D2_BLD13_PNL1_RNG2,,13B,M-Y-I-NT,6119,2,2Bc,2BC,7,,,,,,,19,,15,,,-z down left 4,1,-z down left 2,3,11,gray-5,9/10,6,a,down center,1299,,,,,,
FPix_BmI_D2_BLD14_PNL1_RNG2,,14B,M-M-2-49,6124,5,2Bd,2BD,1,,,,,,,19,,15,,,-z down left 4,1,-z down left 2,3,11,red-7,13/14,6,a,down center,1299,,,,,,
FPix_BmI_D2_BLD15_PNL1_RNG2,,15B,M-Y-D-NN,6181,4,2Bd,2BD,3,,,,,,,20,,15,,,-z down left 3,3,-z down left 2,3,12,red-7,35/36,6,b,down center,1299,,,,,,
FPix_BmI_D2_BLD16_PNL1_RNG2,,16B,M-I-1-31,6192,3,2Bd,2BD,5,,,,,,,21,,15,,,-z down left 3,2,-z down left 2,3,13,red-7,13/14,7,a,down center,1300,,,,,,
